2,13,2,4,80
4,205,3,4,80
4,3,2.5,4,80
4,206,3,4,80
4,1,3,4,80
4,207,2,4,80
4,17,0.5,4,80
5,208,3,1,3
6,17,3.5,44,79
6,2,4,44,79
6,209,4,44,79
6,210,4,44,79
6,211,3,44,79
6,7,3.5,44,79
7,1,1,2,2
7,212,4,2,2
7,2,4,2,2
7,11,4,2,2
7,213,1.5,2,2
7,214,1.5,2,2
7,215,3.5,2,2
7,10,4,2,2
7,216,4,2,2
7,205,2.5,2,2
7,3,0.5,2,2
7,13,2,2,2
12,12,4,3,3
12,207,4,3,3
12,3,3,3,3
12,84,1.5,3,3
12,11,4,3,3
12,211,2.5,3,3
12,220,3.5,3,3
12,4,3.5,3,3
12,2,3.5,3,3
13,218,3,65,16
13,221,1.5,65,16
13,222,4,65,16
13,223,3.5,65,16
13,206,4,65,16
13,224,0.5,65,16
13,225,0.5,65,16
13,226,2.5,65,16
13,11,4,65,16
13,207,2.5,65,16
13,227,3,65,16
13,228,4,65,16
13,229,0.5,65,16
13,230,3,65,16
13,231,0.5,65,16
13,232,3.5,65,16
13,4,4,65,16
15,2,4,4,80
16,235,3.5,4,80
16,207,4,4,80
16,11,3,4,80
16,7,3.5,4,80
16,12,3,4,80
16,236,2,4,80
16,213,4,4,80
16,4,2.5,4,80
16,1,3,4,80
16,2,4,4,80
16,219,3,4,80
18,9,3.5,63,6
20,242,3.5,63,6
20,207,2,63,6
20,7,3,63,6
23,7,2.5,22,49
23,207,3,22,49
23,3,4,22,49
23,1,3,22,49
23,5,3,22,49
23,213,2.5,22,49
23,9,3,22,49
23,219,2,22,49
23,8,3.5,22,49
26,215,3.5,11,9
26,1,3.5,11,9
26,260,1,11,9
26,11,3,11,9
26,214,0.5,11,9
27,261,3.5,32,74
27,213,4,32,74
27,255,1.5,32,74
27,10,4,32,74
27,5,2.5,32,74
27,1,1,32,74
27,234,2,32,74
27,13,2,32,74
27,262,2.5,32,74
27,3,1,32,74
27,205,3.5,32,74
27,214,3,32,74
27,216,2,32,74
27,252,1.5,32,74
27,212,3,32,74
27,11,4,32,74
27,2,1,32,74
27,217,3.5,32,74
27,219,1,32,74
27,263,2,32,74
27,239,1.5,32,74
27,215,0.5,32,74
27,7,1,32,74
29,242,3.5,5,67
29,264,3,5,67
29,265,3,5,67
29,266,0.5,5,67
29,267,0.5,5,67
29,268,3,5,67
29,269,3,5,67
29,270,3.5,5,67
29,271,3.5,5,67
29,272,3.5,5,67
29,273,2.5,5,67
29,274,3,5,67
29,275,3.5,5,67
29,276,3,5,67
29,277,0.5,5,67
29,278,3.5,5,67
29,279,3,5,67
29,280,0.5,5,67
29,281,3.5,5,67
29,282,3,5,67
29,283,2,5,67
29,284,3,5,67
29,285,3.5,5,67
29,286,4,5,67
29,287,3,5,67
29,288,3,5,67
29,289,4,5,67
29,290,3.5,5,67
29,291,4,5,67
29,59,0.5,5,67
29,292,3.5,5,67
29,293,3.5,5,67
29,218,4,5,67
29,294,3.5,5,67
29,295,3,5,67
29,296,0.5,5,67
29,297,3.5,5,67
29,298,3.5,5,67
29,299,4,5,67
29,300,3,5,67
29,301,2.5,5,67
29,302,3.5,5,67
29,303,3.5,5,67
29,304,0.5,5,67
29,305,3,5,67
29,306,4,5,67
29,307,4,5,67
32,206,3,24,36
32,1,3,24,36
32,205,3.5,24,36
32,12,2.5,24,36
32,308,4,24,36
32,236,2.5,24,36
32,8,3,24,36
32,13,4,24,36
32,7,3,24,36
32,2,3.5,24,36
35,309,4,6,5
35,219,2.5,6,5
35,9,2.5,6,5
35,310,4,6,5
35,7,2,6,5
35,311,4,6,5
35,2,3,6,5
36,4,4,22,49
36,210,4,22,49
36,236,4,22,49
36,12,3,22,49
36,205,4,22,49
36,9,4,22,49
36,216,3,22,49
36,255,4,22,49
36,207,4,22,49
36,6,4,22,49
36,250,3.5,22,49
36,219,3.5,22,49
36,234,3,22,49
